Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
365,1963,35,492,0,5,2,3,0,0,537,0.9348230912476723
366,1961,35,493,0,6,2,3,0,0,539,0.935064935064935
367,1967,35,487,0,6,2,3,0,0,533,0.9343339587242027
368,1968,35,486,0,6,2,3,0,0,532,0.9342105263157895
369,1962,35,492,0,6,2,3,0,0,538,0.9349442379182156
370,1962,35,492,0,6,2,3,0,0,538,0.9349442379182156
371,1961,35,493,0,6,2,3,0,0,539,0.935064935064935
372,1965,35,489,0,6,2,3,0,0,535,0.9345794392523364
373,1965,35,489,0,6,2,3,0,0,535,0.9345794392523364
374,1965,35,489,0,6,2,3,0,0,535,0.9345794392523364
375,1969,35,485,0,6,2,3,0,0,531,0.9340866290018832
376,1964,35,490,0,6,2,3,0,0,536,0.9347014925373134
377,1966,35,488,0,6,2,3,0,0,534,0.9344569288389513
378,1967,35,487,0,6,2,3,0,0,533,0.9343339587242027
379,1965,35,489,0,6,2,3,0,0,535,0.9345794392523364
380,1960,35,494,0,6,2,3,0,0,540,0.9351851851851852
381,1966,35,488,0,6,2,3,0,0,534,0.9344569288389513
382,1967,35,487,0,6,2,3,0,0,533,0.9343339587242027
383,1966,35,488,0,6,2,3,0,0,534,0.9344569288389513
384,1965,35,489,0,6,2,3,0,0,535,0.9345794392523364
385,1965,35,489,0,6,2,3,0,0,535,0.9345794392523364
386,1962,35,491,0,7,2,3,0,0,538,0.9349442379182156
387,1953,35,500,0,7,2,3,0,0,547,0.9360146252285192
388,1954,35,499,0,7,2,3,0,0,546,0.9358974358974359
389,1958,35,494,0,7,2,4,0,0,542,0.9354243542435424
390,1960,35,492,0,7,2,4,0,0,540,0.9351851851851852
391,1962,35,490,0,7,2,4,0,0,538,0.9349442379182156
392,1961,35,491,0,7,2,4,0,0,539,0.935064935064935
393,1957,35,494,0,8,2,4,0,0,543,0.9355432780847146
394,1961,35,490,0,8,2,4,0,0,539,0.935064935064935
395,1963,35,487,0,8,2,5,0,0,537,0.9348230912476723
396,1968,35,482,0,8,2,5,0,0,532,0.9342105263157895
397,1972,35,478,0,8,2,5,0,0,528,0.9337121212121212
398,1971,35,479,0,8,2,5,0,0,529,0.9338374291115312
399,1968,35,482,0,8,2,5,0,0,532,0.9342105263157895
400,1966,35,484,0,8,2,5,0,0,534,0.9344569288389513
401,1969,34,482,0,8,2,5,0,0,531,0.935969868173258
402,1965,34,485,0,9,2,5,0,0,535,0.9364485981308411
403,1968,34,482,0,8,2,6,0,0,532,0.9360902255639098
404,1967,34,484,0,7,2,6,0,0,533,0.9362101313320825
405,1968,34,482,0,8,2,6,0,0,532,0.9360902255639098
406,1965,34,485,0,8,2,6,0,0,535,0.9364485981308411
407,1969,34,480,0,8,2,7,0,0,531,0.935969868173258
408,1972,34,477,0,8,2,7,0,0,528,0.9356060606060606
409,1968,34,480,0,9,2,7,0,0,532,0.9360902255639098
410,1971,34,478,0,8,2,7,0,0,529,0.9357277882797732
411,1972,34,477,0,8,2,7,0,0,528,0.9356060606060606
412,1967,34,480,0,10,2,7,0,0,533,0.9362101313320825
413,1967,34,479,0,11,2,7,0,0,533,0.9362101313320825
414,1962,34,484,0,11,2,7,0,0,538,0.9368029739776952
415,1955,34,491,0,11,2,7,0,0,545,0.9376146788990826
416,1950,34,496,0,11,2,7,0,0,550,0.9381818181818182
417,1951,34,495,0,11,2,7,0,0,549,0.9380692167577414
418,1955,34,491,0,11,2,7,0,0,545,0.9376146788990826
419,1953,34,493,0,11,2,7,0,0,547,0.9378427787934186
420,1958,34,488,0,11,2,7,0,0,542,0.9372693726937269
421,1964,34,482,0,11,2,7,0,0,536,0.9365671641791045
422,1964,34,481,0,11,2,8,0,0,536,0.9365671641791045
423,1957,34,488,0,11,2,8,0,0,543,0.9373848987108656
424,1959,35,485,0,11,2,8,0,0,541,0.9353049907578558
425,1963,35,481,0,11,2,8,0,0,537,0.9348230912476723
426,1966,35,478,0,11,2,8,0,0,534,0.9344569288389513
427,1964,35,480,0,11,2,8,0,0,536,0.9347014925373134
428,1964,35,482,0,9,2,8,0,0,536,0.9347014925373134
429,1964,35,481,0,9,2,9,0,0,536,0.9347014925373134
430,1963,35,483,0,8,2,9,0,0,537,0.9348230912476723
431,1966,35,479,0,9,2,9,0,0,534,0.9344569288389513
432,1970,35,475,0,9,2,9,0,0,530,0.9339622641509434
433,1965,35,481,0,8,2,9,0,0,535,0.9345794392523364
434,1957,35,490,0,7,2,9,0,0,543,0.9355432780847146
435,1948,36,498,0,7,2,9,0,0,552,0.9347826086956522
