Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
218,1301,43,644,2,409,2,4,0,95,1199,0.9641367806505421
219,1291,43,642,2,414,2,4,0,102,1209,0.9644334160463193
220,1285,43,644,2,415,2,4,0,105,1215,0.9646090534979423
221,1291,43,638,2,412,2,4,0,108,1209,0.9644334160463193
222,1286,43,636,2,415,2,4,0,112,1214,0.9645799011532126
223,1282,43,633,2,415,2,4,0,119,1218,0.964696223316913
224,1273,43,624,2,428,2,4,0,124,1227,0.9649551752241239
225,1259,43,624,2,435,2,4,0,131,1241,0.9653505237711523
226,1255,43,621,2,441,2,4,0,132,1245,0.9654618473895582
227,1260,43,609,2,444,2,5,0,135,1240,0.9653225806451613
228,1264,43,605,2,444,2,5,0,135,1236,0.9652103559870551
229,1265,43,598,2,447,2,5,0,138,1235,0.9651821862348178
230,1251,43,589,2,469,2,5,0,139,1249,0.9655724579663731
231,1236,43,589,2,479,2,5,0,144,1264,0.9659810126582279
232,1221,43,588,2,490,2,5,0,149,1279,0.9663799843627834
233,1232,43,581,2,485,2,5,0,150,1268,0.9660883280757098
234,1234,43,578,2,484,2,5,0,152,1266,0.9660347551342812
235,1235,43,573,2,483,2,5,0,157,1265,0.9660079051383399
236,1227,43,568,2,493,2,5,0,160,1273,0.9662215239591516
237,1215,43,566,2,500,2,5,0,167,1285,0.9665369649805448
238,1217,43,567,2,493,2,5,0,171,1283,0.9664848012470771
239,1211,43,566,2,497,2,5,0,174,1289,0.9666408068269977
240,1207,43,561,2,501,2,5,0,179,1293,0.9667440061871616
241,1213,43,561,2,488,2,5,0,186,1287,0.9665889665889665
242,1208,43,553,2,496,2,5,0,191,1292,0.9667182662538699
243,1197,43,553,2,501,2,5,0,197,1303,0.9669992325402916
244,1176,43,553,2,516,2,5,0,203,1324,0.9675226586102719
245,1178,43,542,2,523,2,5,0,205,1322,0.9674735249621785
246,1163,43,541,2,534,2,5,0,210,1337,0.9678384442782348
247,1162,43,541,2,536,2,5,0,209,1338,0.9678624813153961
248,1157,43,536,2,543,2,5,0,212,1343,0.9679821295606851
249,1153,43,535,2,545,2,5,0,215,1347,0.9680772086117297
250,1146,43,533,2,541,2,5,0,228,1354,0.9682422451994092
251,1145,43,527,2,543,2,5,0,233,1355,0.9682656826568266
252,1141,43,521,2,549,2,5,0,237,1359,0.9683590875643856
253,1129,43,522,2,554,2,5,0,243,1371,0.9686360320933625
254,1130,43,525,2,540,2,6,0,252,1370,0.9686131386861314
255,1125,43,521,2,536,2,6,0,265,1375,0.9687272727272728
256,1123,43,518,2,538,2,7,0,267,1377,0.9687726942628904
257,1121,43,511,2,541,2,7,0,273,1379,0.9688179840464104
258,1132,43,507,2,529,2,6,0,279,1368,0.9685672514619883
259,1120,43,502,2,537,2,6,0,288,1380,0.9688405797101449
260,1102,43,500,2,550,2,6,0,295,1398,0.969241773962804
261,1109,43,497,2,541,2,6,0,300,1391,0.9690869877785766
262,1110,43,490,2,533,2,6,0,314,1390,0.9690647482014388
263,1120,43,484,2,522,2,6,0,321,1380,0.9688405797101449
264,1121,43,488,2,515,2,6,0,323,1379,0.9688179840464104
265,1096,43,481,2,542,2,6,0,328,1404,0.9693732193732194
266,1106,43,466,2,539,2,6,0,336,1394,0.9691535150645624
267,1095,43,467,2,544,2,6,0,341,1405,0.9693950177935943
268,1085,43,472,2,538,2,6,0,352,1415,0.9696113074204947
269,1071,42,466,2,554,2,6,0,357,1429,0.9706088173547935
270,1071,42,457,2,557,2,6,0,363,1429,0.9706088173547935
271,1071,42,456,2,554,2,6,0,367,1429,0.9706088173547935
272,1073,42,449,2,550,2,6,0,376,1427,0.9705676243868255
273,1074,42,452,2,538,2,6,0,384,1426,0.97054698457223
274,1059,42,450,2,546,2,6,0,393,1441,0.970853573907009
275,1040,42,450,2,556,2,6,0,402,1460,0.9712328767123287
276,1042,42,442,2,557,2,6,0,407,1458,0.9711934156378601
277,1048,42,437,2,551,2,6,0,412,1452,0.9710743801652892
278,1045,42,432,2,555,2,6,0,416,1455,0.9711340206185567
279,1035,42,427,2,559,2,6,0,427,1465,0.9713310580204778
280,1037,41,425,2,551,2,6,0,436,1463,0.9719753930280246
281,1030,41,421,2,554,2,6,0,444,1470,0.972108843537415
282,1028,41,416,2,550,2,6,0,455,1472,0.9721467391304348
283,1030,41,418,2,544,2,6,0,457,1470,0.972108843537415
