Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
194,1620,47,829,0,0,2,2,0,0,880,0.946590909090909
195,1616,47,833,0,0,2,2,0,0,884,0.9468325791855203
196,1615,47,834,0,0,2,2,0,0,885,0.9468926553672317
197,1616,47,833,0,0,2,2,0,0,884,0.9468325791855203
198,1615,47,834,0,0,2,2,0,0,885,0.9468926553672317
199,1611,47,838,0,0,2,2,0,0,889,0.9471316085489314
200,1612,47,835,0,1,2,3,0,0,888,0.9470720720720721
201,1608,47,839,0,1,2,3,0,0,892,0.9473094170403588
202,1607,47,840,0,1,2,3,0,0,893,0.9473684210526315
203,1603,47,842,0,3,2,3,0,0,897,0.947603121516165
204,1597,47,848,0,3,2,3,0,0,903,0.9479512735326688
205,1590,47,855,0,3,2,3,0,0,910,0.9483516483516483
206,1591,47,854,0,3,2,3,0,0,909,0.9482948294829483
207,1589,46,857,0,3,2,3,0,0,911,0.9495060373216246
208,1595,46,851,0,3,2,3,0,0,905,0.949171270718232
209,1593,46,853,0,3,2,3,0,0,907,0.9492833517089305
210,1589,46,856,0,4,2,3,0,0,911,0.9495060373216246
211,1586,46,859,0,4,2,3,0,0,914,0.949671772428884
212,1586,46,859,0,4,2,3,0,0,914,0.949671772428884
213,1582,46,863,0,4,2,3,0,0,918,0.9498910675381264
214,1579,46,866,0,4,2,3,0,0,921,0.9500542888165038
215,1577,46,868,0,4,2,3,0,0,923,0.9501625135427952
216,1580,46,865,0,4,2,3,0,0,920,0.95
217,1581,46,864,0,4,2,3,0,0,919,0.9499455930359086
218,1580,46,865,0,4,2,3,0,0,920,0.95
219,1575,46,870,0,4,2,3,0,0,925,0.9502702702702702
220,1567,45,879,0,4,2,3,0,0,933,0.9517684887459807
221,1569,45,877,0,4,2,3,0,0,931,0.9516648764769066
222,1571,45,875,0,4,2,3,0,0,929,0.9515608180839612
223,1567,45,879,0,4,2,3,0,0,933,0.9517684887459807
224,1567,45,878,0,4,2,4,0,0,933,0.9517684887459807
225,1565,45,880,0,4,2,4,0,0,935,0.9518716577540107
226,1564,45,881,0,4,2,4,0,0,936,0.9519230769230769
227,1564,45,881,0,4,2,4,0,0,936,0.9519230769230769
228,1564,45,881,0,4,2,4,0,0,936,0.9519230769230769
229,1564,45,882,0,3,2,4,0,0,936,0.9519230769230769
230,1567,45,879,0,3,2,4,0,0,933,0.9517684887459807
231,1567,45,879,0,3,2,4,0,0,933,0.9517684887459807
232,1565,45,880,0,4,2,4,0,0,935,0.9518716577540107
233,1562,45,883,0,4,2,4,0,0,938,0.9520255863539445
234,1563,45,881,0,5,2,4,0,0,937,0.951974386339381
235,1561,45,884,0,4,2,4,0,0,939,0.952076677316294
236,1559,45,885,0,4,2,5,0,0,941,0.9521785334750266
237,1555,45,887,0,5,2,6,0,0,945,0.9523809523809523
238,1558,45,884,0,5,2,6,0,0,942,0.9522292993630573
239,1560,45,882,0,5,2,6,0,0,940,0.9521276595744681
240,1558,45,884,0,5,2,6,0,0,942,0.9522292993630573
241,1557,45,885,0,5,2,6,0,0,943,0.9522799575821845
242,1556,45,886,0,5,2,6,0,0,944,0.9523305084745762
243,1550,45,892,0,5,2,6,0,0,950,0.9526315789473684
244,1548,45,894,0,5,2,6,0,0,952,0.9527310924369747
245,1545,45,897,0,5,2,6,0,0,955,0.9528795811518325
246,1546,45,896,0,5,2,6,0,0,954,0.9528301886792453
247,1553,45,889,0,5,2,6,0,0,947,0.9524815205913411
248,1550,45,892,0,5,2,6,0,0,950,0.9526315789473684
249,1544,45,898,0,5,2,6,0,0,956,0.952928870292887
250,1546,45,896,0,5,2,6,0,0,954,0.9528301886792453
251,1547,45,895,0,5,2,6,0,0,953,0.9527806925498427
252,1553,45,889,0,5,2,6,0,0,947,0.9524815205913411
253,1552,45,890,0,5,2,6,0,0,948,0.9525316455696202
254,1549,45,893,0,5,2,6,0,0,951,0.9526813880126183
255,1547,45,895,0,5,2,6,0,0,953,0.9527806925498427
256,1545,45,894,0,8,2,6,0,0,955,0.9528795811518325
257,1545,45,895,0,7,2,6,0,0,955,0.9528795811518325
258,1541,45,898,0,8,2,6,0,0,959,0.9530761209593326
259,1541,45,897,0,9,2,6,0,0,959,0.9530761209593326
260,1545,45,893,0,9,2,6,0,0,955,0.9528795811518325
261,1546,45,891,0,10,2,6,0,0,954,0.9528301886792453
262,1546,45,892,0,9,2,6,0,0,954,0.9528301886792453
